timestamp,close,close_ETH_USDT,close_ADA_USDT,close_DOGE_USDT,close_XRP_USDT,close_LTC_USDT,close_LINK_USDT,close_XLM_USDT
2022-01-01 00:00:00,46813.2,3723.96,1.325,0.1714,0.841,147.8,19.77,0.2703
2022-01-01 04:00:00,47194.73,3715.31,1.325,0.1713,0.8412,148.0,19.8,0.2717
2022-01-01 08:00:00,46758.87,3693.37,1.319,0.1705,0.8388,147.5,19.61,0.2685
2022-01-01 12:00:00,47219.04,3725.3,1.333,0.1721,0.8425,149.2,20.04,0.2726
2022-01-01 16:00:00,47329.78,3747.61,1.346,0.1725,0.8521,149.8,20.21,0.2742
2022-01-01 20:00:00,47722.65,3765.54,1.38,0.1732,0.8507,150.8,20.76,0.2765
2022-01-02 00:00:00,47329.47,3758.55,1.356,0.1727,0.8438,150.3,21.03,0.2829
2022-01-02 04:00:00,47173.45,3747.22,1.355,0.172,0.8425,149.4,20.75,0.2808
2022-01-02 08:00:00,47235.5,3744.01,1.363,0.1731,0.8453,149.4,21.07,0.2848
2022-01-02 12:00:00,47340.47,3778.17,1.37,0.1746,0.8556,151.4,21.41,0.2865
2022-01-02 16:00:00,46907.68,3798.72,1.362,0.1733,0.8513,151.2,21.99,0.2881
2022-01-02 20:00:00,47286.18,3828.27,1.377,0.1745,0.8586,151.2,21.87,0.2921
2022-01-03 00:00:00,46793.26,3785.0,1.35,0.1719,0.8451,149.6,21.37,0.2921
2022-01-03 04:00:00,47051.37,3808.88,1.352,0.1722,0.8425,150.1,21.67,0.291
2022-01-03 08:00:00,47378.0,3834.61,1.37,0.1732,0.8448,150.8,22.46,0.2905
2022-01-03 12:00:00,46693.45,3784.04,1.353,0.1704,0.8383,148.8,22.65,0.2909
2022-01-03 16:00:00,46360.01,3738.4,1.33,0.1692,0.8328,147.9,22.88,0.2909
2022-01-03 20:00:00,46446.1,3765.89,1.319,0.1703,0.8324,148.5,23.72,0.2902
2022-01-04 00:00:00,46313.97,3744.23,1.314,0.1698,0.8274,147.7,23.08,0.2833
2022-01-04 04:00:00,46550.0,3763.87,1.325,0.1715,0.8277,148.7,23.56,0.2834
2022-01-04 08:00:00,46733.77,3836.19,1.341,0.1716,0.8358,150.1,24.06,0.2864
2022-01-04 12:00:00,46925.35,3849.52,1.336,0.171,0.8351,150.3,23.73,0.2844
2022-01-04 16:00:00,46052.36,3812.31,1.316,0.1684,0.825,147.3,23.66,0.2813
2022-01-04 20:00:00,45832.01,3785.11,1.309,0.1684,0.8228,146.5,23.42,0.2791
2022-01-05 00:00:00,46422.55,3809.45,1.332,0.1698,0.8306,148.6,25.59,0.2836
2022-01-05 04:00:00,46407.51,3815.74,1.339,0.1699,0.8294,148.4,25.53,0.2882
2022-01-05 08:00:00,46270.99,3791.69,1.328,0.1691,0.8257,148.0,25.58,0.2904
2022-01-05 12:00:00,46622.53,3820.97,1.326,0.1699,0.8276,149.0,27.1,0.2926
2022-01-05 16:00:00,44685.93,3655.3,1.256,0.1599,0.7982,142.7,25.29,0.2761
2022-01-05 20:00:00,43451.13,3540.63,1.23,0.159,0.7726,135.4,25.24,0.2661
2022-01-06 00:00:00,42835.0,3448.83,1.204,0.1549,0.7493,133.9,23.52,0.2588
2022-01-06 04:00:00,43245.25,3453.12,1.223,0.1579,0.7619,136.8,24.77,0.2682
2022-01-06 08:00:00,42878.34,3349.49,1.204,0.1563,0.7489,134.1,24.12,0.2695
2022-01-06 12:00:00,42950.01,3397.01,1.233,0.1578,0.7623,135.2,24.07,0.2669
2022-01-06 16:00:00,43438.1,3447.29,1.248,0.1609,0.781,137.2,25.79,0.2678
2022-01-06 20:00:00,43082.31,3406.81,1.28,0.1599,0.7791,135.9,25.38,0.2676
2022-01-07 00:00:00,41803.11,3238.74,1.207,0.1529,0.7451,130.7,23.52,0.2556
2022-01-07 04:00:00,41706.71,3202.25,1.208,0.1537,0.7523,130.2,23.5,0.2573
2022-01-07 08:00:00,42258.62,3225.68,1.232,0.1561,0.7576,133.3,25.33,0.2619
2022-01-07 12:00:00,41319.11,3131.69,1.209,0.1522,0.7482,131.1,25.17,0.2575
2022-01-07 16:00:00,41775.38,3197.32,1.225,0.1536,0.765,133.5,26.56,0.2591
2022-01-07 20:00:00,41566.48,3199.24,1.21,0.155,0.7634,131.4,25.98,0.2569
2022-01-08 00:00:00,41810.91,3203.5,1.224,0.1565,0.7684,132.2,26.43,0.2601
